Periodo;AGROPECUÁRIA;Ext. Mineral;Transformação;Eletricidade e gás, água, esgoto e limpeza urbana;Construção;Comércio;Transporte, armazenagem e correio;Serviços de informação;Interm. finaceira e seguros;Atividades imobiliárias;Outros Serv.;APU, educação pública e saúde pública
2010.II;17.571;2.201;33.798;5.731;16.432;21.037;8.077;9.148;30.758;25.535;33.273;37.576
2010.III;15.732;2.288;35.881;5.765;17.004;22.259;8.379;9.390;32.127;25.792;34.607;37.627
2010.IV;11.259;2.320;35.133;5.882;17.170;22.343;8.451;9.894;33.849;26.107;35.914;37.650
2011.I;18.287;2.167;32.374;5.792;16.331;20.907;8.205;9.363;32.673;26.042;34.040;37.735
2011.II;17.698;2.280;35.278;6.077;17.637;21.916;8.453;9.801;33.123;25.941;35.303;38.390
2011.III;16.939;2.351;36.544;6.113;18.601;22.364;8.657;9.969;33.998;26.087;36.174;38.274
2011.IV;12.483;2.398;34.525;6.220;18.486;22.473;8.680;10.539;35.039;26.452;36.812;38.162
2012.I;16.234;2.234;31.874;6.183;17.751;21.037;8.207;9.995;33.763;26.751;35.058;38.253
2012.II;17.669;2.225;33.190;6.023;17.960;22.136;8.469;10.267;33.801;27.433;36.165;39.126
2012.III;17.741;2.265;36.068;6.247;19.136;23.237;9.114;10.728;34.018;27.699;37.341;38.679
2012.IV;11.747;2.294;34.289;5.916;18.471;23.324;8.899;11.459;35.339;27.957;38.895;38.556
2013.I;19.726;2.045;31.848;5.996;17.984;21.789;8.258;10.526;33.954;28.685;35.759;38.845
2013.II;19.464;2.148;35.138;6.149;19.398;23.016;8.983;10.852;35.030;28.766;36.752;39.649
2013.III;17.265;2.248;37.332;6.238;20.193;23.908;9.269;10.846;35.087;28.861;38.047;39.895
2013.IV;12.236;2.288;35.184;6.376;19.039;24.093;9.090;11.925;35.321;29.154;39.264;39.643
2014.I;21.086;2.178;32.174;6.327;19.388;22.819;8.711;11.216;34.463;29.113;36.960;38.980
2014.II;19.500;2.319;32.551;5.947;18.788;22.730;8.842;11.434;34.405;28.921;37.770;39.898
2014.III;17.447;2.486;35.419;5.866;18.382;23.757;9.390;11.550;34.414;28.916;38.501;39.831
2014.IV;12.575;2.537;32.821;6.138;18.414;24.016;9.189;12.272;35.322;29.365;39.388;39.478
2015.I;22.592;2.448;29.643;5.947;17.766;21.584;8.357;11.608;34.295;29.148;37.008;38.993
2015.II;20.407;2.502;29.762;5.824;17.162;21.068;8.348;11.414;34.146;28.915;37.581;39.606
2015.III;17.483;2.586;31.158;5.959;17.676;21.377;8.684;11.369;34.058;28.950;37.291;39.806
2015.IV;12.675;2.443;28.515;6.196;17.484;21.139;8.346;11.850;34.951;29.232;37.865;39.563
2016.I;20.709;2.223;26.573;6.172;16.880;19.320;7.749;11.082;33.849;29.213;35.800;38.944
2016.II;19.162;2.374;28.361;6.333;16.616;19.670;7.849;11.055;33.137;29.003;36.130;39.814
2016.III;16.436;2.553;30.071;6.213;16.801;20.440;8.037;11.202;32.921;28.985;36.367;39.837
