Periodo;AGROPEC.;Ext.Mineral;Transfor.;Eletricidade;Construcao;INDUST.;Comercio;Transporte;Serv.infor.;Interm.finac.;Ativ.imobili.;OutrosServ.;Adm.publica;SERVIC.
2004.III;13462,54618;1683,049906;32347,75394;4607,829882;12985,7417;51687,52227;16613,81604;6541,158878;7135,885479;18119,81188;20642,61402;27578,80523;32799,43329;130883,6315
2004.IV;9282,97122;1709,100975;31754,08392;4735,659012;12437,27419;50915,12647;16716,39581;6681,720951;7674,407969;19536,69266;20877,98379;28994,28569;32742,77802;134630,6915
2005.I;15061,80422;1543,367989;27464,99649;4661,061295;11331,93514;45320,64463;15327,65499;6275,653335;7164,856337;17846,56712;20706,29914;26813,08518;32833,78174;128091,3877
2005.II;15173,62137;1764,041202;31094,10269;4698,076303;11807,64584;49907,33178;16544,38878;6671,366657;7449,784057;18042,21876;20885,38563;27966,83097;33407,96492;132517,6608
2005.III;13193,00453;1796,611311;32017,38998;4706,576111;12075,92632;51114,60573;16869,93317;6685,20679;7523,83157;19669,00093;21143,81615;28999,39489;33318,5728;135513,4255
2005.IV;9320,111782;1822,055002;31790,02447;4816,244906;11999,64723;51038,35606;17174,92965;6833,652748;7898,668262;20109,52026;21632,22743;29836,95625;32998,40708;137930,9951
2006.I;15137,45264;1754,678532;28154,19605;4784,787287;11386,48926;46819,52688;16204,38514;6523,862686;7241,748017;19706,72797;21391,43867;27990,04394;33995,34385;133994,3692
2006.II;15123,11829;1788,539449;30184,3749;4824,295081;11399,46031;48980,57242;16895,74363;6722,812491;7341,264157;20364,31903;21839,0542;28890,37752;34597,1336;137676,43
2006.III;14658,91798;1892,050809;32549,46545;4982,696705;12268,62798;52414,72641;17692,86892;6845,865368;7729,58748;21030,13038;22357,51759;29964,36089;34584,46566;141423,5307
2006.IV;10276,28067;1942,702482;32987,98881;5071,401323;12284,85813;53126,47111;18405,1368;7030,479463;7954,051033;20747,5213;22736,42368;31064,09044;34559,64498;144090,3054
2007.I;15721,63963;1837,499862;29024,50792;5077,311914;12049,44144;48753,5587;17315,49374;6728,525082;7653,117703;21989,2197;22919,54748;29345,33225;35012,72999;141602,1297
2007.II;15213,665;1897,303836;32752,09383;5224,448136;12795,84993;53265,89888;18518,1022;7050,047336;7845,918148;22831,12225;23364,82112;30027,30487;35420,39293;145924,7509
2007.III;15344,87345;1926,246663;35002,7377;5222,506468;13548,61605;56058,84634;19257,09167;7174,444094;8029,142733;23926,45847;23612,68121;30806,5155;35305,73565;149023,8249
2007.IV;10707,79675;1930,17499;34704,29393;5343,259002;13299,33398;55759,57165;19822,57228;7546,436278;8681,932591;25468,58031;23728,79014;31934,93796;34970,35313;153098,356
2008.I;16470,166;1908,577239;31782,34818;5231,186906;12651,52602;52235,96313;18657,11934;7319,142447;8362,012913;25720,36666;23551,10852;30435,09229;34879,40057;149089,534
2008.II;16896,60071;1994,796084;34865,6436;5271,91181;13282,68974;56055,54316;19894,22202;7801,840583;8622,968102;26451,83621;23720,91611;31675,59556;35602,95574;154362,092
2008.III;16114,43515;2073,390882;37408,42785;5411,506455;14527,43065;59852,89537;21034,4647;7969,784787;8898,378683;27170,63113;23960,98206;32697,94908;35635,38257;158276,3038
2008.IV;10795,53213;1926,737868;32883,19178;5491,407747;13768,31734;54459,99676;19319,76261;7568,374344;9473,173171;27342,57067;23689,64967;33091,00262;35492,50144;156365,915
2009.I;16239,1952;1801,32701;26621,9696;5108,032734;12576,28336;46596,52973;17266,39436;6804,422752;8565,818708;27921,78544;23956,06037;31412,83388;35973,21085;150556,7365
2009.II;15965,33516;1903,445335;30155,7653;5340,593846;13925,3849;51588,31293;18773,11539;7130,134712;8713,462265;28500,28835;24231,91049;32195,3239;36676,2931;155422,2207
2009.III;14905,95347;1999,448758;33492,89351;5434,84029;15551,8916;56406,94969;20266,26264;7538,118289;8827,281607;29266,46746;24566,99151;33560,08689;36813,73881;160510,1185
2009.IV;10918,72255;2031,683645;33982,95802;5681,669597;15983,98359;57545,1039;20757,4802;7846,883509;9254,173653;30437,46852;25008,92973;34574,20332;36992,79725;164379,6783
2010.I;17354,75295;2078,525725;30860,60442;5540,065948;15035,51593;53729,95271;20017,09016;7693,549645;8820,164991;30217,84807;25107,59974;32245,94382;36861,3866;159910,8504
2010.II;17570,57542;2201,173792;33797,58112;5731,244195;16432,07355;58292,18543;21036,96819;8077,14982;9148,043914;30758,31996;25535,12249;33273,07813;37576,20736;164787,9606
2010.III;15731,54054;2288,263932;35880,92889;5765,115913;17003,76968;61098,76256;22258,73223;8378,996883;9390,254513;32126,59847;25791,61374;34607,07077;37627,41716;169699,0454
