Periodo;AGROPEC.;Ext.Mineral;Transfor.;Eletricidade;Construcao;INDUST.;Comercio;Transporte;Serv.infor.;Interm.finac.;Ativ.imobili.;OutrosServ.;Adm.publica;SERVIC.
2004.III;13090,25082;1635,724428;30524,26539;4638,368836;12452,45191;49194,16282;16210,13941;6394,829759;7154,864745;17386,16324;20635,15541;27277,27378;32688,15892;129462,1352
2004.IV;12922,43765;1660,938487;30717,16152;4673,188539;12151,42821;49315,48532;16208,67452;6503,769177;7343,22355;18352,10841;20783,44581;28007,27283;32921,92855;131581,7364
2005.I;13336,50872;1633,243075;30271,32405;4667,900627;11872,8921;49166,02743;16167,10881;6625,813065;7380,645859;18647,74723;20801,47907;27753,66828;33021,64151;131543,2787
2005.II;13530,05713;1766,735893;31179,92113;4726,107285;12075,15408;50237,11192;16595,62745;6620,107428;7550,523117;18915,46612;20905,9771;28323,94627;33154,74243;133416,0432
2005.III;12789,34048;1748,940478;30201,70451;4729,231956;11547,04091;48623,21425;16497,00777;6577,682501;7546,849041;19129,98931;21108,03919;28671,52367;33203,89511;134214,6519
2005.IV;12952,34224;1780,685203;30666,36351;4751,944938;11819,85308;49707,38375;16640,73269;6664,080009;7550,441885;19276,95139;21543,35361;28820,17482;33180,86248;134929,048
2006.I;13429,17736;1819,70788;30996,89795;4806,443785;11891,41448;50416,52435;17073,98241;6787,764537;7463,646413;20275,76355;21501,46442;28983,96237;34225,17232;137444,961
2006.II;13517,42789;1809,045119;30286,63644;4847,619445;11620,67948;49287,34325;16973,39605;6729,608354;7440,704053;20934,18097;21860,59062;29260,86564;34297,8304;138451,74
2006.III;14172,69294;1843,784109;30760,65066;4997,597643;11801,27647;50143,42003;17279,50709;6743,176702;7753,77285;20727,87491;22307,97302;29609,16227;34466,61256;140185,5831
2006.IV;14224,29653;1910,890081;31829,06375;5005,320662;12115,02014;51820,67624;17832,1826;6865,769952;7602,890038;20204,25872;22646,41283;30013,53777;34747,29405;141132,737
2007.I;13978,60863;1898,707335;31835,34301;5112,152315;12635,25648;52459,95139;18260,61275;6990,089519;7885,903777;22338,62334;23041,56322;30395,59453;35222,86076;145039,6727
2007.II;13637,26022;1913,568952;32896,79524;5243,299052;12986,48604;53476,15455;18621,98507;7065,343004;7954,921619;23195,12653;23384,22211;30405,88108;35140,78661;146684,2121
2007.III;14798,55895;1877,878434;33219,29425;5231,512548;13031,46909;53705,97135;18757,44569;7051,388379;8053,696161;23790,89046;23563,10875;30435,74219;35191,38954;147773,7645
2007.IV;14784,27849;1902,783897;33539,68754;5276,505436;13027,07476;54297,91424;19234,43435;7385,697305;8297,431731;25007,45421;23642,07713;30862,93701;35152,89176;150108,6285
2008.I;14643,83563;1995,389968;34580,30583;5274,879666;13235,68071;55534,62046;19662,61095;7646,412593;8615,882091;25952,30758;23661,34954;31524,67468;35065,28895;152598,3423
2008.II;15171,79854;1981,949483;35011,41722;5286,511867;13415,26088;56212,14087;20063,09993;7775,037164;8743,454271;26747,21226;23736,68486;32068,14209;35346,75372;155143,6816
2008.III;15563,17474;2025,908529;35590,55181;5419,181094;13898,03901;57161,67595;20398,4227;7815,481203;8928,188079;27130,67921;23929,42172;32300,63379;35530,17497;156947,8974
2008.IV;14866,85999;1899,626355;31824,65004;5422,656526;13485,61786;53085,81157;18795,01665;7413,930526;9053,079086;26885,32399;23606,50648;32001,98202;35659,16357;153332,6704
2009.I;14411,38376;1865,452431;29330,75698;5156,594525;13348,4731;50633,64318;18188,63215;7092,250364;8819,63565;28127,83913;24049,22347;32517,74589;36207,98247;154176,9033
2009.II;14339,1799;1915,090982;30332,42292;5353,561208;14022,2126;51641,66133;18938,1656;7160,816206;8839,454097;28814,67646;24241,72879;32587,11146;36377,48138;156234,109
2009.III;14447,89451;1952,135987;31592,51234;5442,494424;14902,1334;53782,15604;19631,0473;7370,582329;8860,756305;29263,20523;24557,39665;33163,7237;36712,43029;159095,0666
2009.IV;15056,97647;1997,971824;33073,27087;5611,031684;15675,09895;56266,12182;20240,0981;7692,277939;8842,879636;29841,74249;24926,96047;33453,70822;37154,07183;161248,2441
2010.I;15319,65097;2149,1568;33505,56532;5590,604471;15942,07731;57592,45688;21036,54847;7980,054352;9074,116681;30498,93134;25178,19473;33353,30418;37079,31703;163706,376
2010.II;15756,306;2214,136721;33944,41204;5742,638621;16504,8697;58369,82008;21222,42467;8126,185635;9281,927169;31118,69239;25543,75249;33671,29696;37303,61953;165605,7857
2010.III;15361,27688;2241,180473;33919,52043;5775,631894;16337,43391;58523,67417;21585,17308;8193,021352;9432,136386;32146,02605;25808,32693;34213,13367;37523,17823;168193,6617
2010.IV;15583,14132;2277,071185;34404,00625;5809,524672;16877,99682;59508,17819;21793,54264;8295,151703;9456,956997;33070,10883;26021,16581;34769,14202;37793,83577;169902,0337
2011.I;16000,85541;2243,363521;34903,8216;5842,644907;17232,36055;60476,17096;21950,91442;8492,154133;9620,470989;33060,5775;26089,3711;35185,17806;38017,20254;171322,4733
